brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
Chevrolet,Tahoe LTZ,2015,134500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,True,28000
Acura,MDX Technology,2022,15895,Gasoline,3.5L V6 24V GDI SOHC,Automatic,Majestic Black Pearl,Parchment,None reported,False,47950
Bentley,Bentayga Speed,2020,15109,Gasoline,6.0L W12 48V PDI DOHC Twin Turbo,Automatic,Ice,Beluga Hide,None reported,False,162950
Rolls-Royce,Cullinan,2022,398,Gasoline,6.7L V12 48V GDI DOHC Twin Turbo,Automatic,Silver,Charles Blue,None reported,True,695000
Genesis,GV70 2.5T,2022,20319,Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Other,White,Black,None reported,True,44249
Pontiac,Firebird Base,1999,158000,Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,True,2500
Lexus,GX 460 Base,2021,40906,Gasoline,4.6 Liter,Automatic,Black,Black,None reported,False,51998
BMW,ALPINA B7 ALPINA B7 xDrive,2020,33749,Gasoline,4.4 Liter Twin Turbo,Automatic,Blue,Red,None reported,False,85998
BMW,M4 Competition xDrive,2023,1120,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Gray,White,None reported,True,92900
Jeep,Grand Cherokee L Limited,2021,26088,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Silver Zynith,Global Black,None reported,False,38383
Kia,Forte GT-Line,2022,14950,Gasoline,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,At least 1 accident or damage reported,True,24000
Kia,Forte LX,2018,47466,Gasoline,"2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",Automatic,Silky Silver,Black,None reported,False,14699
BMW,X6 M Base,2022,10376,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,Automatic,Ametrin Metallic,Black,None reported,False,98900
RAM,ProMaster 3500 High Roof,2021,18500,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,True,41950
Volkswagen,Atlas Cross Sport 3.6L V6 SEL Premium,2021,24596,Gasoline,3.6L V6 24V GDI DOHC,Automatic,Deep Black Pearl Effect,Titan Black / Quarzit,None reported,False,38322
Hyundai,Santa Fe SEL,2021,2905,Gasoline,2.5L I4 16V PDI DOHC,Automatic,Shimmering Silver,Black,None reported,False,27599
Jaguar,XF 3.0 Portfolio,2015,71290,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Brown,Black,At least 1 accident or damage reported,True,21000
Audi,A7 55 Premium Plus,2022,15000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Gray,Black,None reported,True,63000
INFINITI,QX30 Premium,2017,37900,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,True,22000
Mercedes-Benz,AMG G 63 4MATIC,2022,2000,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Other,Black,Black,None reported,False,244896
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,32500,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,True,43500
Mitsubishi,Lancer Evolution Base,2003,61491,Gasoline,271.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Blue,Black,At least 1 accident or damage reported,True,28000
Jeep,Wrangler Unlimited Sport,2013,77634,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Gecko Pearlcoat,Black,None reported,False,24590
Audi,A3 2.0 TDI Premium Plus,2015,83000,Diesel,150.0HP 2.0L 4 Cylinder Engine Diesel Fuel,Automatic,Black,Black,At least 1 accident or damage reported,True,18999
Volkswagen,Jetta GLX VR6,2002,121800,Gasoline,174.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,Manual,Black,Black,None reported,True,4300
BMW,ALPINA B7 ALPINA B7 xDrive,2020,65852,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Mocha,None reported,False,68998
Bentley,Bentayga Azure First Edition,2023,1335,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,Onyx,Portland,None reported,True,272950
Mercedes-Benz,CLA-Class CLA 250,2014,83315,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,White,None reported,True,15000
BMW,i8 Base,2019,18421,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Automatic,Black,Black,None reported,False,85000
Lexus,CT 200h Premium,2015,101000,Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,Automatic,Black,Black,At least 1 accident or damage reported,True,16500
Toyota,Tundra SR5,2022,29322,Gasoline,3.4L V6 24V PDI DOHC Twin Turbo,Automatic,Gray,Black,None reported,False,44999
Mercedes-Benz,SLC 300 Base,2019,23900,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,True,35999
Mercedes-Benz,AMG C AMG C 63 S,2016,40515,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,Black,Black,At least 1 accident or damage reported,False,47999
Ford,F-150 XLT,2020,67516,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Gray,Medium Light Camel,None reported,True,36994
Mazda,CX-9 Grand Touring,2010,155000,Gasoline,273.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,True,8300
Honda,Ridgeline RTL-E,2019,26998,Gasoline,3.5L V6 24V GDI SOHC,Automatic,Black,Black,None reported,False,35557
Bentley,Bentayga Onyx Edition,2018,18500,Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,None reported,True,115000
MINI,Cooper S Clubman Base,2009,137600,Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Manual,Gold,Black,None reported,True,6880
Nissan,Murano SL,2005,125500,Gasoline,245.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT,Black,Beige,None reported,True,3950
Bentley,Bentayga V8,2019,22039,Gasoline,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,True,113990
Nissan,Juke SV,2011,137483,Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT,White,Gray,None reported,True,3200
Ford,Expedition Max Limited,2019,67500,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,True,40500
Ford,Expedition Max King Ranch,2020,52000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Brown,At least 1 accident or damage reported,True,53722
Lamborghini,Murcielago Base,2006,10000,Gasoline,571.0HP 6.2L 12 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,None reported,True,259000
Chevrolet,Suburban LT,2017,195361,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Other,Black,Black,At least 1 accident or damage reported,True,26000
Bentley,Bentayga Onyx Edition,2018,32500,Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,At least 1 accident or damage reported,True,103000
BMW,M760 i xDrive,2019,14806,Gasoline,601.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,Other,Black,Black,At least 1 accident or damage reported,True,81330
Genesis,GV70 2.5T,2022,11000,Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,White,–,At least 1 accident or damage reported,True,48950
Chevrolet,Tahoe LT,2011,92530,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,Automatic,Red,Black,At least 1 accident or damage reported,True,18500
Dodge,Durango GT,2017,34845,Gasoline,295.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,At least 1 accident or damage reported,True,30000
Porsche,718 Cayman GTS,2018,16280,Gasoline,365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Other,Red,Black,None reported,True,85500
Porsche,Cayman Base,2011,77000,Gasoline,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Red,Beige,None reported,True,32000
Porsche,Panamera Turbo,2010,63000,Gasoline,500.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,At least 1 accident or damage reported,True,38500
Lexus,ES 350 Base,2016,39700,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,True,25500
Kia,Optima Hybrid LX,2013,103111,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,Automatic,Silver,Beige,At least 1 accident or damage reported,True,9200
Land,Rover Range Rover Velar R-Dynamic SE,2019,75897,Gasoline,2.0 Liter,Automatic,Black,Black,None reported,False,35998
Jaguar,XF S,2017,55000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Other,Gray,Red,None reported,True,34000
Lexus,GX 470 Base,2005,114000,Gasoline,270.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,At least 1 accident or damage reported,True,13450
Mercedes-Benz,GL-Class GL 550,2011,80124,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,True,17500
BMW,X6 M Base,2023,7000,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Other,Gray,Gray,None reported,True,144900
RAM,1500 Longhorn,2023,4285,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Delmonico Red Pearlcoat,Black / Saddle,None reported,True,65688
Lamborghini,Huracan LP580-2S,2019,17175,Gasoline,5.2L V10 40V GDI DOHC,Automatic,Rosso Mars Metallic,Nero Ade,None reported,False,234900
Toyota,Highlander Hybrid Limited Platinum,2017,34049,Hybrid,3.5L V6 24V PDI DOHC Hybrid,Automatic,Shoreline Blue Pearl,Ash,None reported,False,37999
Audi,e-tron Prestige,2019,16000,Gasoline,355.0HP Electric Motor Electric Fuel System,Automatic,White,Beige,At least 1 accident or damage reported,True,39990
GMC,Suburban 2500,1996,95000,Gasoline,290.0HP 7.4L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,None reported,True,25000
Land,Rover Range Rover Velar SVAutobiography Dynamic Edition,2020,59355,Gasoline,V8,Automatic,Santorini Black,Ebony / Pimento,None reported,True,72995
Chevrolet,Bolt EUV Premier,2022,31000,Gasoline,200.0HP Electric Motor Electric Fuel System,Automatic,Red,White,None reported,True,36000
BMW,M240 i,2019,19300,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,White,Red,None reported,True,36000
Cadillac,Escalade EXT Base,2009,155000,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,Automatic,Red,Beige,At least 1 accident or damage reported,True,16900
Scion,tC Release Series 6.0,2010,120010,Gasoline,161.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,At least 1 accident or damage reported,True,6500
Kia,Optima EX,2012,152520,Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,True,10900
Honda,Civic EX,1993,58981,not supported,Electric,Automatic,White,Beige,None reported,True,9599
Maserati,Quattroporte Base,2005,32000,Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Other,Red,Beige,At least 1 accident or damage reported,True,2954083
Porsche,Panamera Turbo,2015,47000,Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Other,Black,Brown,None reported,True,50000
Genesis,G70 2.0T,2023,2046,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Green,Gray,None reported,True,43499
Chevrolet,Trailblazer LS,2021,24965,Gasoline,1.2L I3 12V GDI DOHC Turbo,Automatic,Mosaic Black Metallic,Jet Black,At least 1 accident or damage reported,True,22995
Toyota,Camry LE,2005,108000,Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,Beige,Gray,None reported,True,7850
Toyota,Sienna LE,2015,76000,Gasoline,266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Red,Gray,None reported,True,18300
Porsche,911 Carrera S,2014,30000,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Brown,None reported,True,78500
Volvo,V60 T6 R-Design Platinum,2015,59271,Gasoline,325.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,None reported,True,29900
Lexus,LX 600 Premium,2023,1500,Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,False,119500
BMW,330e iPerformance,2017,52500,Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Other,Blue,Black,At least 1 accident or damage reported,True,24950
Tesla,Model Y Long Range,2020,23100,Gasoline,425.0HP Electric Motor Electric Fuel System,Automatic,Blue,White,None reported,True,36495
FIAT,124 Spider Abarth,2017,45000,Gasoline,164.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,Manual,Gray,Black,At least 1 accident or damage reported,True,22500
Dodge,Ram 1500 Quad Cab,2002,179000,Gasoline,245.0HP 5.9L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,True,6500
Toyota,Supra A91-MT Edition,2023,1500,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Manual,Gray,Orange,None reported,True,84900
BMW,X7 xDrive40i,2022,38671,Hybrid,3.0 Liter Turbo,Automatic,Gray,Blk,None reported,False,66998
Jeep,Wrangler Unlimited X,2007,135465,Gasoline,205.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Gray,None reported,True,15750
MINI,Countryman Cooper S ALL4,2014,79000,Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Other,White,Black,None reported,True,17000
Nissan,Maxima SV,2012,42259,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT,Black,Black,At least 1 accident or damage reported,True,17000
Toyota,Camry Solara SLE V6,2006,159890,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Gray,At least 1 accident or damage reported,True,6500
Maserati,Grecale Modena,2023,2200,Hybrid,325.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,Other,Black,Red,None reported,True,75000
Lexus,RX 450h Base,2022,15833,Hybrid,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT,White,Beige,None reported,True,52000
BMW,328 i xDrive,2013,96000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Other,Black,Black,At least 1 accident or damage reported,True,13500
BMW,135 i,2009,72900,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Gray,None reported,True,15500
BMW,X7 M50i,2021,7121,Gasoline,4.4 Liter Twin Turbo,Automatic,Gray,Black,None reported,False,94998
Hyundai,Tucson Hybrid SEL Convenience,2023,3402,Hybrid,226.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,Automatic,White,Black,None reported,True,44000
Volvo,C30 T5 Premier Plus,2013,73000,Gasoline,227.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,True,13900
Karma,Revero Base,2018,21000,Gasoline,403.0HP 2.0L Electric Motor Electric Fuel System,Automatic,White,Black,None reported,True,51000
BMW,X7 xDrive40i,2021,30309,Hybrid,3.0 Liter Turbo,Automatic,Blue,Tan,None reported,False,63598
Ford,Mustang Mach-E California Route 1,2021,24000,Gasoline,290.0HP Electric Motor Electric Fuel System,Automatic,White,Black,None reported,True,38000
BMW,740 i,2016,73000,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Other,Black,Black,None reported,True,23999
Ford,Edge SEL,2019,26465,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,White Platinum Tri-Coat Metallic,Ebony,None reported,False,24998
Volkswagen,Arteon 2.0T SEL Premium R-Line,2020,26870,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Deep Black Pearl Effect,Mistral Gray / Raven,At least 1 accident or damage reported,True,34645
Honda,Pilot EX,2004,184000,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Blue,Gray,At least 1 accident or damage reported,True,10500
BMW,X7 ALPINA XB7,2022,4514,Gasoline,4.4 Liter Twin Turbo,Automatic,Gray,Black,None reported,False,132998
RAM,2500 Tradesman,2022,1300,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,None reported,True,48000
Jeep,Grand Cherokee Limited,2018,49924,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,True,26500
GMC,Yukon Denali,2019,36526,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,None reported,True,57850
BMW,M6 Base,2015,37000,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Other,Silver,Silver,None reported,True,45950
Acura,MDX 3.5L w/Advance & Entertainment Pkgs,2017,79884,Gasoline,3.5L V6 24V GDI SOHC,Automatic,Gray,Graystone,At least 1 accident or damage reported,False,24840
Volkswagen,Beetle 1.8T,2016,30000,Gasoline,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Other,Blue,Beige,At least 1 accident or damage reported,True,19000
BMW,X6 M Base,2021,11102,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,True,101000
Ford,Mustang GT Premium,2012,105500,Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Manual,Silver,Black,None reported,True,19000
BMW,X7 xDrive50i,2019,31157,Gasoline,4.4 Liter GDI DOHC Twin Turbo,Automatic,Black,Blk,None reported,False,65998
Kia,Sorento LX V6,2019,86204,Gasoline,3.3L V6 24V GDI DOHC,Automatic,Sparkling Silver,Satin Black,At least 1 accident or damage reported,False,20708
BMW,435 i,2014,80211,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Red,At least 1 accident or damage reported,True,17995
Aston,Martin V8 Vantage Base,2010,25991,Gasoline,420.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,True,69995
Mercedes-Benz,CLK-Class CLK 350,2008,73000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,True,8400
BMW,740 i,2018,40989,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Gold,None reported,True,35000
Dodge,Caliber Express,2010,102681,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Red,Black,None reported,True,6000
Acura,ZDX Base,2010,123000,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Other,Black,Black,At least 1 accident or damage reported,True,13888
Jeep,Wrangler X,2005,160900,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,–,At least 1 accident or damage reported,True,7200
BMW,M3 Base,2011,105000,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Manual,Silver,Black,At least 1 accident or damage reported,True,21900
Kia,Sportage Plug-In Hybrid X-Line,2023,1340,Plug-In Hybrid,177.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,Automatic,Black,Black,None reported,True,41000
Ford,Mustang Mach-E Premium,2021,17850,Gasoline,266.0HP Electric Motor Electric Fuel System,Automatic,Red,Black,None reported,True,41999
BMW,M3 Base,2011,72277,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Other,Gray,Red,None reported,True,34950
Jeep,Wrangler Rubicon,2023,7000,Hybrid,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Gray,Black,None reported,True,46000
Porsche,Panamera 4 Platinum Edition,2022,10627,Gasoline,"2.9L V-6 gasoline direct injection, DOHC, variable valve control",Automatic,Chalk,BLACK,None reported,False,99000
Ford,Explorer XLT,2020,67015,Gasoline,2.3L I4 16V GDI DOHC Turbo,Automatic,Oxford White,Sandstone,None reported,False,28590
BMW,M4 Base,2018,19600,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,True,62000
Ford,Mustang Mach-E Premium,2022,5800,Gasoline,346.0HP Electric Motor Electric Fuel System,Automatic,White,White,None reported,True,42500
FIAT,500e Battery Electric,2017,33812,Gasoline,111.0HP Electric Motor Electric Fuel System,Automatic,Silver,Black,None reported,True,14999
Cadillac,Escalade Luxury,2015,99897,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,True,26950
Mercedes-Benz,SL-Class SL 550,2014,127500,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Other,White,White,None reported,True,29000
Ford,Expedition Limited,2021,23842,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Gray,Medium Stone,None reported,True,59203
Rivian,R1S Adventure Package,2023,2108,Gasoline,835.0HP Electric Motor Electric Fuel System,Automatic,Silver,White,None reported,True,91000
BMW,M6 Base,2014,65550,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Other,Black,Black,None reported,True,39985
Lamborghini,Huracan LP580-2,2017,22000,Gasoline,573.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Other,White,Black,None reported,True,210000
Ford,Bronco Wildtrak Advanced,2022,15600,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Other,Gray,–,At least 1 accident or damage reported,True,68995
Lexus,LC 500 Base,2021,22400,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Red,None reported,True,81900
Lexus,LS 460 Crafted Line,2015,89150,Gasoline,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,True,31900
BMW,M4 Base,2023,15000,Gasoline,"3L I-6 gasoline direct injection, DOHC, Double VANOS variable va",Automatic,BLUE,ORANGE,None reported,False,81000
Audi,A3 2.0T Tech Premium,2018,49500,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,Gray,None reported,True,25000
Audi,S8 4.2 quattro,2003,126000,Gasoline,360.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Other,Gray,Black,None reported,False,13850
Volkswagen,Golf GTI 2.0T Autobahn 4-Door,2015,85385,Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Manual,Gray,Black,None reported,True,15550
Cadillac,Escalade Sport,2023,3000,Diesel,277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel,Automatic,White,Brown,None reported,True,123999
Hyundai,Tucson SE,2018,66126,Gasoline,2.0L I4 16V GDI DOHC,Automatic,Dazzling White,Gray,None reported,False,19190
Toyota,GR86 Premium,2023,1075,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Manual,White,Black,None reported,True,35000
Ford,Bronco Raptor,2023,2489,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Oxford White,Black Onyx,None reported,False,98900
Hyundai,Santa Fe SEL,2021,25000,Gasoline,191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Automatic,Black,Gray,None reported,True,28500
Nissan,Armada Platinum,2017,92000,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,None reported,True,20900
Lexus,GX 470 Base,2008,123500,Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Gray,At least 1 accident or damage reported,True,14500
Cadillac,CTS Premium,2013,105000,Gasoline,318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,At least 1 accident or damage reported,True,12000
Audi,R8 Base,2008,49000,Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Manual,Black,Black,None reported,True,63000
Jaguar,F-PACE S,2020,28357,Gasoline,3.0 Liter,Automatic,Santorini Black Metallic,Pimento Red w/Ebony,None reported,False,47598
Chevrolet,Silverado 1500 1LT,2018,81000,E85 Flex Fuel,285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability,Automatic,Red,Gray,None reported,True,32000
Ford,Expedition Limited,2021,45000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Other,Gray,Black,None reported,True,52000
Toyota,Sequoia Platinum,2011,173456,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,Automatic,Black,Gray,At least 1 accident or damage reported,True,16000
BMW,M440 i,2021,13700,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Black,Beige,None reported,False,60000
Audi,A8 L 55,2019,93400,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Automatic,Silver,Brown,None reported,True,42500
Toyota,Avalon XLE,2015,90000,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,True,18200
Porsche,Macan Base,2017,40600,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,None reported,True,32000
Lexus,IS 350 F Sport,2023,20121,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Gray,Red,None reported,True,47124
Mercedes-Benz,Metris Base,2020,3921,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Black,White,None reported,True,175000
Lexus,RX 350 Base,2011,187450,Gasoline,275.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Beige,At least 1 accident or damage reported,True,10400
Toyota,Supra A91 Edition,2021,6400,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Other,Gray,Black,None reported,True,68000
Mercedes-Benz,AMG C 43 Base 4MATIC,2017,54500,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,True,37995
BMW,X6 xDrive50i,2017,78500,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Brown,At least 1 accident or damage reported,True,42000
Chevrolet,Tahoe LT,2018,75000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,None reported,True,36000
Ford,F-150 SVT Raptor,2014,89988,Gasoline,411.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Automatic,Red,Red,At least 1 accident or damage reported,True,42500
Subaru,Outback 3.0 R VDC Limited,2005,107000,Gasoline,250.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,Automatic,Gold,Beige,None reported,True,7100
Alfa,Romeo Giulia Ti,2019,21400,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Black,None reported,True,28500
Mazda,CX-7 Grand Touring,2007,83150,Gasoline,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Automatic,White,Beige,None reported,True,6950
Ford,F-150 Platinum,2018,92000,Diesel,250.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Automatic,Black,Black,At least 1 accident or damage reported,True,36500
